,,,,W,,,,,W,,,,,,,,,,,,,,
,,,,W,,V,,,W,,,,,,V,,,,,,G,,
,,,,D,,,,,W,,V,,,,,,,,,G,G,G,V
,,V,,W,,V,,,W,W,W,W,W,W,W,W,W,W,W,W,D,W,W
,,,,W,,,,,,,,,,,,,,,,,,,
,,,,W,,,,V,,,,,,,,,,,,,,,
,,,,W,,,,,,,,V,,,,,,,,,,,
,,V,,W,,,,,,,,,,V,,,,,,,,,
W,W,W,W,W,G,G,G,G,W,W,W,W,W,W,W,W,W,W,W,W,D,W,W
,,,,V,,,,,W,,G,,,,,,G,V,,,,,
,,,,,,V,,,W,G,,,,V,,,G,,,,,,
S,,V,,,,,,,W,,,V,,,,,G,,,,,,
,,,,,,V,,,W,,,,G,,,,G,,,,,,
W,W,W,W,W,,,,,W,,,,G,,,V,G,,,,,,
,,,V,W,,,,,W,W,D,W,W,W,W,W,W,W,W,W,W,W,W
,,,,W,,,,,,,V,,,,,,,,,,,,
,,,,D,,,V,,,,,,,,,,,,,,,,
,,,,W,,,,,,V,,,,,V,,,,,,,,
,,,,W,,,V,,,,,,,,,,,,,,,,
,,,,W,,,,,W,W,D,W,W,W,W,W,W,W,W,W,W,W,W
G,G,G,G,W,,,,,W,,,,,,,,,,,,,,
,,,,W,,,,,W,,,,,,,V,,,W,,,,
,,,,W,G,G,G,G,W,,,,V,,,,,,W,,,,
V,,,,W,,,,,W,,,,,V,,,,,W,V,,,
