states,observations
"(0, 0)","[7, 1, 2, 8, 0, 0]"
"(0, 90)","[0, 0]"
"(0, 180)","[0, 0]"
"(0, 270)","[7, 13, 6, 0, 12, 0]"
"(1, 0)","[1, 2, 1]"
"(1, 90)","[1, 1]"
"(1, 180)","[6, 0, 1, 1]"
"(1, 270)","[1, 8, 13, 12, 6, 7, 1]"
"(2, 0)","[5, 17, 2, 9, 10, 4, 16, 11, 3, 2]"
"(2, 90)","[2, 2]"
"(2, 180)","[6, 0, 2, 7, 1, 12, 2]"
"(2, 270)","[8, 2, 2]"
"(3, 0)","[5, 17, 10, 4, 11, 3, 3]"
"(3, 90)","[3, 3]"
"(3, 180)","[3, 2, 3]"
"(3, 270)","[8, 9, 10, 15, 3, 16, 3]"
"(4, 0)","[5, 4, 11, 4]"
"(4, 90)","[4, 4]"
"(4, 180)","[4, 2, 9, 3, 8, 4]"
"(4, 270)","[9, 10, 11, 15, 4, 17, 16, 4]"
"(5, 0)","[5, 5]"
"(5, 90)","[5, 5]"
"(5, 180)","[4, 5, 2, 9, 10, 15, 3, 8, 5]"
"(5, 270)","[17, 11, 5, 10, 16, 5]"
"(6, 0)","[8, 1, 2, 13, 6, 7, 6]"
"(6, 90)","[6, 0, 1, 6]"
"(6, 180)","[6, 6]"
"(6, 270)","[12, 6, 6]"
"(7, 0)","[8, 7, 7]"
"(7, 90)","[0, 2, 7, 1, 7]"
"(7, 180)","[6, 0, 7, 12, 7]"
"(7, 270)","[7, 13, 7]"
"(8, 0)","[5, 17, 9, 10, 15, 4, 16, 11, 3, 8, 8]"
"(8, 90)","[8, 2, 8]"
"(8, 180)","[6, 0, 7, 13, 1, 8, 12, 8]"
"(8, 270)","[8, 14, 8]"
"(9, 0)","[5, 17, 9, 10, 4, 16, 11, 9]"
"(9, 90)","[2, 9, 4, 3, 9]"
"(9, 180)","[8, 9, 9]"
"(9, 270)","[9, 15, 9]"
"(10, 0)","[5, 17, 10, 11, 10]"
"(10, 90)","[5, 10, 4, 3, 10]"
"(10, 180)","[8, 9, 10, 15, 3, 2, 10]"
"(10, 270)","[16, 10, 10]"
"(11, 0)","[11, 11]"
"(11, 90)","[5, 4, 11, 11]"
"(11, 180)","[4, 11, 2, 9, 10, 15, 16, 3, 8, 11]"
"(11, 270)","[11, 17, 11]"
"(12, 0)","[12, 13, 12]"
"(12, 90)","[6, 0, 2, 7, 1, 12, 12]"
"(12, 180)","[12, 12]"
"(12, 270)","[18, 12, 12]"
"(13, 0)","[13, 14, 13]"
"(13, 90)","[0, 2, 7, 13, 1, 8, 13]"
"(13, 180)","[12, 13, 13]"
"(13, 270)","[19, 13, 13]"
"(14, 0)","[15, 14, 14]"
"(14, 90)","[8, 14, 14]"
"(14, 180)","[13, 14, 14]"
"(14, 270)","[20, 21, 19, 27, 14, 26, 14]"
"(15, 0)","[15, 16, 15]"
"(15, 90)","[5, 2, 9, 10, 15, 4, 3, 15]"
"(15, 180)","[15, 14, 15]"
"(15, 270)","[20, 21, 28, 15, 27, 26, 22, 15]"
"(16, 0)","[17, 16, 16]"
"(16, 90)","[5, 2, 10, 4, 16, 11, 3, 16]"
"(16, 180)","[15, 16, 16]"
"(16, 270)","[21, 29, 28, 27, 22, 16, 23, 16]"
"(17, 0)","[17, 17]"
"(17, 90)","[5, 17, 4, 11, 3, 17]"
"(17, 180)","[17, 16, 17]"
"(17, 270)","[17, 29, 23, 22, 28, 17]"
"(18, 0)","[18, 19, 18]"
"(18, 90)","[18, 12, 18]"
"(18, 180)","[18, 18]"
"(18, 270)","[31, 25, 32, 30, 24, 18, 18]"
"(19, 0)","[17, 20, 29, 19, 14, 23, 15, 26, 22, 16, 21, 28, 27, 19]"
"(19, 90)","[19, 13, 19]"
"(19, 180)","[18, 19, 19]"
