states,observations
"(0, 0)","[0, 1, 2, 7, 8]"
"(0, 90)",[0]
"(0, 180)",[0]
"(0, 270)","[0, 6, 7, 12, 13]"
"(1, 0)","[1, 2]"
"(1, 90)",[1]
"(1, 180)","[0, 1, 6]"
"(1, 270)","[1, 6, 7, 8, 12, 13]"
"(2, 0)","[2, 3, 4, 5, 9, 10, 11, 16, 17]"
"(2, 90)",[2]
"(2, 180)","[0, 1, 2, 6, 7, 12]"
"(2, 270)","[8, 2]"
"(3, 0)","[3, 4, 5, 10, 11, 17]"
"(3, 90)",[3]
"(3, 180)","[2, 3]"
"(3, 270)","[3, 8, 9, 10, 15, 16]"
"(4, 0)","[11, 4, 5]"
"(4, 90)",[4]
"(4, 180)","[2, 3, 4, 8, 9]"
"(4, 270)","[4, 9, 10, 11, 15, 16, 17]"
"(5, 0)",[5]
"(5, 90)",[5]
"(5, 180)","[2, 3, 4, 5, 8, 9, 10, 15]"
"(5, 270)","[5, 10, 11, 16, 17]"
"(6, 0)","[1, 2, 6, 7, 8, 13]"
"(6, 90)","[0, 1, 6]"
"(6, 180)",[6]
"(6, 270)","[12, 6]"
"(7, 0)","[8, 7]"
"(7, 90)","[0, 1, 2, 7]"
"(7, 180)","[0, 12, 6, 7]"
"(7, 270)","[13, 7]"
"(8, 0)","[3, 4, 5, 8, 9, 10, 11, 15, 16, 17]"
"(8, 90)","[8, 2]"
"(8, 180)","[0, 1, 6, 7, 8, 12, 13]"
"(8, 270)","[8, 14]"
"(9, 0)","[4, 5, 9, 10, 11, 16, 17]"
"(9, 90)","[9, 2, 3, 4]"
"(9, 180)","[8, 9]"
"(9, 270)","[9, 15]"
"(10, 0)","[17, 10, 11, 5]"
"(10, 90)","[10, 3, 4, 5]"
"(10, 180)","[2, 3, 8, 9, 10, 15]"
"(10, 270)","[16, 10]"
"(11, 0)",[11]
"(11, 90)","[11, 4, 5]"
"(11, 180)","[2, 3, 4, 8, 9, 10, 11, 15, 16]"
"(11, 270)","[17, 11]"
"(12, 0)","[12, 13]"
"(12, 90)","[0, 1, 2, 6, 7, 12]"
"(12, 180)",[12]
"(12, 270)","[32, 12, 18, 19, 24, 25, 26, 30, 31]"
"(13, 0)","[13, 14]"
"(13, 90)","[0, 1, 2, 7, 8, 13]"
"(13, 180)","[12, 13]"
"(13, 270)","[32, 13, 18, 19, 20, 24, 25, 26, 30, 31]"
"(14, 0)","[14, 15]"
"(14, 90)","[8, 14]"
"(14, 180)","[13, 14]"
"(14, 270)","[14, 19, 20, 21, 24, 25, 26, 27, 30, 31]"
"(15, 0)","[16, 15]"
"(15, 90)","[2, 3, 4, 5, 9, 10, 15]"
"(15, 180)","[14, 15]"
"(15, 270)","[15, 20, 21, 22, 26, 27, 28]"
"(16, 0)","[16, 17]"
"(16, 90)","[2, 3, 4, 5, 10, 11, 16]"
"(16, 180)","[16, 15]"
"(16, 270)","[16, 21, 22, 23, 27, 28, 29]"
"(17, 0)",[17]
"(17, 90)","[3, 4, 5, 11, 17]"
"(17, 180)","[16, 17]"
"(17, 270)","[17, 22, 23, 28, 29]"
"(18, 0)","[13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]"
"(18, 90)","[18, 12]"
"(18, 180)",[18]
"(18, 270)","[32, 18, 24, 25, 30, 31]"
"(19, 0)","[14, 15, 16, 17, 19, 20, 21, 22, 23, 26, 27, 28, 29]"
"(19, 90)","[19, 13]"
"(19, 180)","[24, 18, 19, 12]"
"(19, 270)","[32, 19, 24, 25, 26, 30, 31]"
"(20, 0)","[15, 16, 17, 20, 21, 22, 23, 27, 28, 29]"
"(20, 90)","[20, 14]"
"(20, 180)","[12, 13, 18, 19, 20, 24, 25, 30]"
"(20, 270)","[26, 20]"
"(21, 0)","[16, 17, 21, 22, 23, 28, 29]"
"(21, 90)","[21, 15]"
"(21, 180)","[12, 13, 14, 18, 19, 20, 21, 24, 25, 26]"
"(21, 270)","[27, 21]"
"(22, 0)","[17, 29, 22, 23]"
"(22, 90)","[16, 22]"
"(22, 180)","[12, 13, 14, 15, 18, 19, 20, 21, 22, 24, 25, 26, 27]"
"(22, 270)","[28, 22]"
"(23, 0)",[23]
"(23, 90)","[17, 23]"
"(23, 180)","[13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
"(23, 270)","[29, 23]"
"(24, 0)","[32, 14, 15, 16, 19, 20, 21, 22, 24, 25, 26, 31]"
"(24, 90)","[12, 13, 18, 19, 24]"
"(24, 180)",[24]
"(24, 270)","[24, 30, 31]"
"(25, 0)","[25, 26]"
"(25, 90)","[12, 13, 14, 18, 19, 20, 25]"
"(25, 180)","[24, 25, 18, 30]"
"(25, 270)","[32, 25, 30, 31]"
"(26, 0)","[26, 27]"
"(26, 90)","[13, 14, 15, 19, 20, 21, 26]"
"(26, 180)","[12, 18, 19, 24, 25, 26, 30, 31]"
"(26, 270)","[32, 26]"
"(27, 0)","[27, 28]"
"(27, 90)","[14, 15, 16, 20, 21, 22, 27]"
"(27, 180)","[26, 27]"
"(27, 270)","[32, 33, 34, 27]"
"(28, 0)","[28, 29]"
"(28, 90)","[15, 16, 17, 21, 22, 23, 28]"
"(28, 180)","[27, 28]"
"(28, 270)","[33, 34, 35, 28]"
"(29, 0)",[29]
"(29, 90)","[16, 17, 22, 23, 29]"
"(29, 180)","[28, 29]"
"(29, 270)","[34, 35, 29]"
"(30, 0)","[32, 25, 26, 30, 31]"
"(30, 90)","[12, 13, 14, 18, 19, 20, 24, 25, 30]"
"(30, 180)",[30]
"(30, 270)",[30]
"(31, 0)","[32, 31]"
"(31, 90)","[12, 13, 14, 18, 19, 20, 24, 25, 26, 31]"
"(31, 180)","[24, 30, 31]"
"(31, 270)",[31]
"(32, 0)","[32, 33, 34, 35, 27, 28, 29]"
"(32, 90)","[32, 26]"
"(32, 180)","[32, 18, 24, 25, 30, 31]"
"(32, 270)",[32]
"(33, 0)","[33, 34, 35, 28, 29]"
"(33, 90)","[33, 27]"
"(33, 180)","[32, 33]"
"(33, 270)",[33]
"(34, 0)","[34, 35, 29]"
"(34, 90)","[34, 28]"
"(34, 180)","[32, 33, 34, 27]"
"(34, 270)",[34]
"(35, 0)",[35]
"(35, 90)","[35, 29]"
"(35, 180)","[32, 33, 34, 35, 27, 28]"
"(35, 270)",[35]
