states,observations
"(0, 0)","[22, 12, 11, 0, 10, 1, 26, 21]"
"(0, 90)","[1, 0]"
"(0, 180)","[10, 0, 21]"
"(0, 270)","[25, 22, 12, 11, 0, 10, 1, 26, 21]"
"(1, 0)","[22, 12, 11, 1]"
"(1, 90)","[1, 0]"
"(1, 180)","[11, 1, 22, 10, 25, 0, 21]"
"(1, 270)","[25, 22, 12, 11, 0, 10, 1, 26, 21]"
"(2, 0)","[13, 2, 23]"
"(2, 90)",[2]
"(2, 180)","[13, 2, 12, 23]"
"(2, 270)","[12, 13, 23, 2]"
"(3, 0)","[5, 15, 8, 20, 14, 9, 19, 3, 6, 18, 4, 16, 7, 17]"
"(3, 90)","[5, 3, 4]"
"(3, 180)","[14, 3]"
"(3, 270)","[5, 14, 4, 17, 3, 15, 18, 19, 16]"
"(4, 0)","[5, 15, 8, 9, 19, 6, 18, 4, 16, 7, 17]"
"(4, 90)","[5, 3, 6, 4]"
"(4, 180)","[15, 14, 3, 4]"
"(4, 270)","[5, 4, 14, 17, 3, 15, 18, 19, 6, 16]"
"(5, 0)","[5, 8, 20, 9, 19, 6, 18, 16, 7, 17]"
"(5, 90)","[5, 3, 6, 4, 7]"
"(5, 180)","[5, 15, 14, 3, 4, 16]"
"(5, 270)","[7, 5, 4, 14, 17, 3, 15, 18, 16, 19, 6]"
"(6, 0)","[8, 20, 9, 19, 6, 18, 7, 17]"
"(6, 90)","[5, 8, 6, 4, 7]"
"(6, 180)","[5, 15, 14, 16, 3, 6, 4, 17]"
"(6, 270)","[5, 19, 14, 4, 17, 15, 18, 8, 16, 7, 6]"
"(7, 0)","[8, 20, 9, 19, 18, 7]"
"(7, 90)","[5, 8, 9, 6, 7]"
"(7, 180)","[5, 15, 14, 3, 6, 18, 4, 16, 7, 17]"
"(7, 270)","[5, 15, 8, 20, 14, 9, 19, 18, 6, 17, 16, 7]"
"(8, 0)","[8, 20, 9, 19]"
"(8, 90)","[8, 9, 6, 7]"
"(8, 180)","[5, 15, 8, 14, 19, 3, 6, 18, 4, 16, 7, 17]"
"(8, 270)","[15, 8, 20, 14, 9, 19, 18, 6, 17, 16, 7]"
"(9, 0)","[20, 9]"
"(9, 90)","[8, 9, 7]"
"(9, 180)","[5, 15, 8, 20, 14, 9, 19, 3, 6, 18, 4, 16, 7, 17]"
"(9, 270)","[15, 8, 20, 14, 9, 19, 18, 17, 16, 7]"
"(10, 0)","[25, 22, 12, 11, 0, 10, 1, 26, 21]"
"(10, 90)","[11, 1, 10, 12, 0]"
"(10, 180)","[10, 25, 0, 21]"
"(10, 270)","[25, 22, 12, 11, 10, 26, 21]"
"(11, 0)","[22, 12, 11, 1, 26]"
"(11, 90)","[11, 1, 12, 0]"
"(11, 180)","[11, 1, 26, 22, 10, 25, 0, 21]"
"(11, 270)","[25, 22, 12, 11, 10, 26, 21]"
"(12, 0)","[12, 13, 23, 2]"
"(12, 90)","[12, 13, 2]"
"(12, 180)","[11, 1, 22, 10, 25, 12, 0, 21]"
"(12, 270)","[13, 25, 22, 12, 11, 23, 10, 21]"
"(13, 0)","[13, 2, 23]"
"(13, 90)","[13, 2]"
"(13, 180)","[13, 2, 12, 23]"
"(13, 270)","[12, 13, 23]"
"(14, 0)","[5, 15, 8, 14, 9, 19, 3, 18, 6, 4, 17, 16, 7]"
"(14, 90)","[5, 15, 8, 14, 9, 3, 6, 4, 16, 7]"
"(14, 180)","[14, 3]"
"(14, 270)","[14, 15, 16]"
"(15, 0)","[5, 15, 8, 9, 19, 18, 6, 4, 17, 16, 7]"
"(15, 90)","[5, 15, 8, 9, 3, 6, 4, 16, 7, 17]"
"(15, 180)","[15, 14, 3, 4]"
"(15, 270)","[14, 17, 15, 16]"
"(16, 0)","[5, 8, 9, 19, 18, 6, 17, 16, 7]"
"(16, 90)","[5, 8, 9, 3, 6, 18, 4, 16, 7, 17]"
"(16, 180)","[5, 15, 14, 3, 4, 16]"
"(16, 270)","[14, 17, 15, 18, 16]"
"(17, 0)","[8, 9, 19, 18, 6, 17, 7]"
"(17, 90)","[5, 8, 9, 19, 3, 6, 18, 4, 7, 17]"
"(17, 180)","[5, 15, 14, 3, 6, 4, 17, 16]"
"(17, 270)","[17, 15, 18, 16, 19]"
"(18, 0)","[8, 19, 18, 7]"
"(18, 90)","[5, 8, 19, 3, 6, 18, 4, 7]"
"(18, 180)","[5, 15, 14, 3, 18, 6, 4, 17, 16, 7]"
"(18, 270)","[17, 18, 16, 19]"
"(19, 0)","[8, 20, 9, 19, 24]"
"(19, 90)","[5, 8, 20, 9, 19, 6, 4, 7]"
"(19, 180)","[5, 15, 8, 14, 19, 24, 3, 18, 6, 4, 17, 16, 7]"
"(19, 270)","[20, 19, 24, 18, 17]"
"(20, 0)","[20, 9]"
"(20, 90)","[5, 8, 20, 9, 6, 7]"
"(20, 180)","[8, 20, 9, 19]"
"(20, 270)","[20, 19]"
"(21, 0)","[25, 22, 12, 11, 0, 10, 1, 26, 21]"
"(21, 90)","[11, 1, 22, 10, 12, 0, 21]"
"(21, 180)","[10, 25, 0, 21]"
"(21, 270)","[25, 22, 26, 21]"
"(22, 0)","[12, 1, 26, 22, 11]"
"(22, 90)","[11, 1, 22, 10, 12, 0, 21]"
"(22, 180)","[11, 1, 26, 22, 10, 25, 0, 21]"
"(22, 270)","[25, 22, 26, 21]"
"(23, 0)","[13, 27, 23, 2]"
"(23, 90)","[13, 2, 23]"
"(23, 180)","[12, 13, 27, 23, 2]"
"(23, 270)","[23, 27]"
"(24, 0)","[37, 34, 35, 24, 19]"
"(24, 90)","[19, 24]"
"(24, 180)","[37, 34, 24, 33, 19]"
"(24, 270)","[37, 34, 35, 24, 33]"
"(25, 0)","[25, 22, 12, 11, 10, 1, 26, 21]"
"(25, 90)","[11, 1, 26, 22, 10, 25, 12, 0, 21]"
"(25, 180)","[10, 25, 21]"
"(25, 270)","[25, 26]"
"(26, 0)","[12, 26, 22, 11]"
"(26, 90)","[11, 1, 26, 22, 10, 25, 12, 0, 21]"
"(26, 180)","[11, 26, 22, 10, 25, 0, 21]"
"(26, 270)","[25, 26]"
"(27, 0)","[35, 31, 27, 34, 30, 33, 23, 29, 41, 32, 36, 28]"
"(27, 90)","[27, 23, 28, 29]"
"(27, 180)","[27, 23, 36, 40, 41]"
"(27, 270)","[59, 63, 27, 29, 49, 36, 28, 40, 41]"
"(28, 0)","[35, 31, 34, 30, 37, 24, 33, 29, 32, 28]"
"(28, 90)","[27, 30, 28, 29]"
"(28, 180)","[28, 27]"
"(28, 270)","[27, 30, 28, 29]"
"(29, 0)","[35, 31, 34, 30, 33, 29, 32]"
"(29, 90)","[27, 30, 31, 28, 29]"
"(29, 180)","[27, 28, 29]"
"(29, 270)","[27, 30, 31, 28, 29]"
"(30, 0)","[35, 31, 34, 30, 37, 24, 33, 32]"
"(30, 90)","[32, 30, 31, 28, 29]"
"(30, 180)","[27, 30, 28, 29]"
"(30, 270)","[32, 30, 31, 28, 29]"
"(31, 0)","[35, 31, 34, 37, 24, 33, 32]"
"(31, 90)","[32, 33, 30, 31, 29]"
"(31, 180)","[27, 30, 31, 28, 29]"
"(31, 270)","[32, 33, 30, 31, 29]"
"(32, 0)","[35, 34, 37, 24, 33, 32]"
"(32, 90)","[34, 24, 32, 33, 30, 31]"
"(32, 180)","[27, 32, 30, 31, 28, 29]"
"(32, 270)","[37, 34, 32, 33, 30, 31]"
"(33, 0)","[35, 34, 37, 24, 33]"
"(33, 90)","[34, 35, 24, 32, 33, 31]"
"(33, 180)","[27, 32, 33, 30, 31, 28, 29]"
"(33, 270)","[37, 34, 35, 32, 33, 31]"
"(34, 0)","[35, 34, 37, 24]"
"(34, 90)","[35, 34, 24, 33, 32]"
"(34, 180)","[31, 27, 34, 30, 37, 24, 33, 29, 32, 28]"
