states,observations
"(0, 0)","[11, 1, 0, 0]"
"(0, 90)","[0, 0]"
"(0, 180)","[0, 0]"
"(0, 270)","[11, 20, 10, 0, 0]"
"(1, 0)","[1, 1]"
"(1, 90)","[1, 1]"
"(1, 180)","[10, 0, 1, 1]"
"(1, 270)","[1, 20, 10, 11, 1]"
"(2, 0)","[3, 14, 4, 13, 2, 2]"
"(2, 90)","[2, 2]"
"(2, 180)","[2, 2]"
"(2, 270)","[12, 13, 2, 21, 2]"
"(3, 0)","[3, 14, 4, 3]"
"(3, 90)","[3, 3]"
"(3, 180)","[3, 12, 2, 3]"
"(3, 270)","[12, 13, 14, 3, 21, 3]"
"(4, 0)","[4, 4]"
"(4, 90)","[4, 4]"
"(4, 180)","[3, 4, 12, 13, 2, 4]"
"(4, 270)","[13, 14, 4, 21, 4]"
"(5, 0)","[7, 5, 9, 18, 16, 6, 8, 19, 17, 5]"
"(5, 90)","[5, 5]"
"(5, 180)","[5, 5]"
"(5, 270)","[5, 15, 5]"
"(6, 0)","[7, 9, 18, 6, 8, 19, 17, 6]"
"(6, 90)","[6, 6]"
"(6, 180)","[5, 6, 15, 6]"
"(6, 270)","[16, 6, 6]"
"(7, 0)","[7, 9, 18, 8, 19, 7]"
"(7, 90)","[7, 7]"
"(7, 180)","[5, 6, 15, 7, 16, 7]"
"(7, 270)","[7, 17, 7]"
"(8, 0)","[9, 8, 19, 8]"
"(8, 90)","[8, 8]"
"(8, 180)","[7, 5, 16, 6, 15, 8, 17, 8]"
"(8, 270)","[17, 8, 18, 19, 8]"
"(9, 0)","[9, 9]"
"(9, 90)","[9, 9]"
"(9, 180)","[7, 5, 9, 18, 16, 6, 15, 8, 17, 9]"
"(9, 270)","[19, 9, 18, 9]"
"(10, 0)","[1, 20, 10, 11, 10]"
"(10, 90)","[10, 0, 1, 10]"
"(10, 180)","[10, 10]"
"(10, 270)","[10, 10]"
"(11, 0)","[11, 11]"
"(11, 90)","[0, 11, 1, 11]"
"(11, 180)","[10, 0, 11, 11]"
"(11, 270)","[11, 20, 11]"
"(12, 0)","[3, 14, 4, 12, 13, 21, 12]"
"(12, 90)","[12, 3, 2, 12]"
"(12, 180)","[12, 12]"
"(12, 270)","[12, 12]"
"(13, 0)","[13, 14, 4, 13]"
"(13, 90)","[4, 13, 3, 2, 13]"
"(13, 180)","[12, 13, 2, 13]"
"(13, 270)","[21, 13, 13]"
"(14, 0)","[14, 14]"
"(14, 90)","[4, 3, 14, 14]"
"(14, 180)","[3, 14, 12, 13, 21, 2, 14]"
"(14, 270)","[14, 14]"
"(15, 0)","[16, 15, 15]"
"(15, 90)","[5, 6, 15, 15]"
"(15, 180)","[15, 15]"
"(15, 270)","[15, 15]"
"(16, 0)","[16, 17, 16]"
"(16, 90)","[7, 5, 16, 6, 16]"
"(16, 180)","[16, 15, 16]"
"(16, 270)","[22, 16, 16]"
"(17, 0)","[9, 18, 8, 19, 17, 17]"
"(17, 90)","[7, 6, 8, 17, 17]"
"(17, 180)","[16, 17, 17]"
"(17, 270)","[17, 17]"
"(18, 0)","[9, 18, 19, 18]"
"(18, 90)","[7, 9, 18, 8, 18]"
"(18, 180)","[18, 17, 18]"
"(18, 270)","[18, 18]"
"(19, 0)","[19, 19]"
"(19, 90)","[9, 8, 19, 19]"
"(19, 180)","[5, 8, 19, 18, 6, 17, 7, 19]"
"(19, 270)","[19, 19]"
"(20, 0)","[20, 20]"
"(20, 90)","[0, 11, 20, 1, 20]"
"(20, 180)","[20, 20]"
"(20, 270)","[24, 20, 20]"
"(21, 0)","[21, 21]"
"(21, 90)","[4, 13, 3, 21, 14, 2, 21]"
"(21, 180)","[21, 21]"
"(21, 270)","[26, 37, 27, 21, 28, 21]"
"(22, 0)","[22, 22]"
"(22, 90)","[22, 16, 22]"
"(22, 180)","[22, 22]"
"(22, 270)","[38, 22, 31, 32, 30, 22]"
"(23, 0)","[23, 24, 23]"
"(23, 90)","[23, 23]"
"(23, 180)","[23, 23]"
"(23, 270)","[36, 35, 42, 23, 41, 23]"
"(24, 0)","[30, 25, 24, 34, 29, 28, 38, 22, 33, 32, 27, 21, 26, 37, 31, 24]"
"(24, 90)","[24, 20, 24]"
"(24, 180)","[23, 24, 24]"
"(24, 270)","[35, 24, 42, 36, 41, 24]"
"(25, 0)","[30, 25, 34, 29, 28, 38, 22, 33, 32, 27, 21, 26, 37, 31, 25]"
"(25, 90)","[25, 25]"
"(25, 180)","[25, 24, 25]"
"(25, 270)","[25, 25]"
"(26, 0)","[30, 39, 34, 29, 40, 28, 33, 32, 27, 21, 26, 37, 31, 26]"
"(26, 90)","[26, 26]"
"(26, 180)","[25, 26, 24, 26]"
"(26, 270)","[26, 26]"
"(27, 0)","[30, 39, 34, 29, 40, 28, 38, 22, 33, 32, 27, 31, 27]"
"(27, 90)","[27, 21, 27]"
"(27, 180)","[25, 26, 24, 27, 27]"
"(27, 270)","[37, 27, 27]"
"(28, 0)","[30, 34, 29, 40, 28, 38, 22, 33, 32, 31, 28]"
"(28, 90)","[28, 28]"
"(28, 180)","[25, 26, 24, 37, 27, 21, 28, 28]"
"(28, 270)","[28, 28]"
"(29, 0)","[30, 39, 34, 29, 40, 38, 22, 33, 32, 31, 29]"
"(29, 90)","[29, 29]"
"(29, 180)","[25, 26, 24, 37, 29, 27, 21, 28, 29]"
"(29, 270)","[29, 29]"
"(30, 0)","[30, 39, 34, 40, 38, 22, 33, 32, 31, 30]"
"(30, 90)","[30, 30]"
"(30, 180)","[25, 26, 24, 37, 29, 30, 27, 21, 28, 30]"
"(30, 270)","[30, 30]"
"(31, 0)","[34, 40, 31, 39, 33, 32, 31]"
"(31, 90)","[31, 22, 31]"
"(31, 180)","[25, 26, 24, 37, 31, 29, 30, 27, 21, 28, 31]"
"(31, 270)","[31, 38, 31]"
"(32, 0)","[34, 40, 39, 49, 33, 32, 32]"
"(32, 90)","[32, 32]"
"(32, 180)","[38, 22, 30, 26, 29, 25, 32, 28, 24, 31, 27, 32]"
"(32, 270)","[32, 32]"
"(33, 0)","[34, 40, 33, 33]"
"(33, 90)","[33, 33]"
"(33, 180)","[38, 22, 30, 26, 33, 37, 29, 25, 32, 28, 24, 31, 27, 21, 33]"
"(33, 270)","[39, 48, 49, 33, 40, 33]"
"(34, 0)","[34, 34]"
"(34, 90)","[34, 34]"
"(34, 180)","[38, 22, 34, 30, 26, 33, 37, 29, 39, 25, 32, 28, 24, 31, 27, 21, 34]"
"(34, 270)","[39, 49, 34, 40, 48, 34]"
"(35, 0)","[42, 36, 24, 35, 35]"
"(35, 90)","[23, 35, 35]"
"(35, 180)","[35, 35]"
"(35, 270)","[35, 42, 41, 35]"
"(36, 0)","[36, 36]"
"(36, 90)","[24, 36, 36]"
"(36, 180)","[36, 41, 35, 23, 36]"
"(36, 270)","[41, 42, 36, 36]"
"(37, 0)","[37, 37]"
"(37, 90)","[26, 37, 27, 21, 28, 37]"
"(37, 180)","[37, 37]"
"(37, 270)","[44, 37, 43, 37]"
"(38, 0)","[38, 38]"
"(38, 90)","[38, 22, 31, 32, 30, 38]"
"(38, 180)","[38, 38]"
"(38, 270)","[50, 38, 46, 47, 38]"
"(39, 0)","[34, 40, 39, 49, 39]"
"(39, 90)","[39, 33, 34, 32, 39]"
"(39, 180)","[39, 39]"
"(39, 270)","[39, 48, 39]"
"(40, 0)","[40, 40]"
"(40, 90)","[34, 40, 33, 40]"
"(40, 180)","[39, 48, 22, 33, 31, 32, 30, 40, 40]"
"(40, 270)","[40, 49, 40]"
"(41, 0)","[36, 41, 42, 41]"
"(41, 90)","[35, 24, 36, 23, 41, 41]"
"(41, 180)","[41, 41]"
"(41, 270)","[41, 41]"
"(42, 0)","[42, 42]"
"(42, 90)","[42, 23, 24, 36, 35, 42]"
"(42, 180)","[42, 41, 35, 42]"
"(42, 270)","[42, 42]"
"(43, 0)","[44, 37, 43, 43]"
"(43, 90)","[43, 43]"
"(43, 180)","[43, 43]"
"(43, 270)","[43, 43]"
"(44, 0)","[44, 44]"
"(44, 90)","[44, 37, 44]"
"(44, 180)","[44, 43, 44]"
"(44, 270)","[44, 44]"
"(45, 0)","[50, 38, 45, 46, 47, 45]"
"(45, 90)","[45, 45]"
"(45, 180)","[45, 45]"
"(45, 270)","[45, 45]"
"(46, 0)","[38, 46, 47, 46]"
"(46, 90)","[46, 46]"
"(46, 180)","[45, 46, 46]"
"(46, 270)","[46, 50, 46]"
"(47, 0)","[47, 47]"
"(47, 90)","[47, 38, 47]"
"(47, 180)","[50, 45, 46, 47, 47]"
"(47, 270)","[47, 47]"
"(48, 0)","[48, 49, 48]"
"(48, 90)","[39, 34, 40, 48, 33, 32, 48]"
"(48, 180)","[48, 48]"
"(48, 270)","[48, 69, 96, 52, 84, 61, 71, 79, 95, 97, 51, 70, 80, 85, 60, 48]"
"(49, 0)","[49, 49]"
"(49, 90)","[34, 40, 39, 49, 33, 32, 49]"
"(49, 180)","[48, 49, 49]"
"(49, 270)","[69, 96, 52, 84, 61, 71, 79, 49, 95, 97, 51, 70, 80, 85, 60, 49]"
"(50, 0)","[50, 50]"
"(50, 90)","[50, 38, 45, 46, 47, 50]"
"(50, 180)","[50, 50]"
"(50, 270)","[59, 50, 83, 78, 58, 69, 68, 67, 77, 50]"
"(51, 0)","[52, 61, 49, 51, 51]"
"(51, 90)","[51, 48, 51]"
"(51, 180)","[51, 51]"
"(51, 270)","[69, 96, 84, 61, 71, 79, 97, 51, 70, 80, 85, 60, 51]"
"(52, 0)","[52, 52]"
"(52, 90)","[52, 49, 52]"
"(52, 180)","[48, 52, 51, 60, 52]"
"(52, 270)","[69, 96, 52, 84, 61, 71, 79, 95, 97, 70, 80, 85, 60, 52]"
"(53, 0)","[53, 64, 54, 63, 74, 55, 53]"
"(53, 90)","[53, 53]"
"(53, 180)","[53, 53]"
"(53, 270)","[72, 62, 53, 73, 81, 63, 74, 53]"
"(54, 0)","[64, 54, 55, 54]"
"(54, 90)","[54, 54]"
"(54, 180)","[62, 53, 54, 54]"
"(54, 270)","[72, 64, 54, 74, 62, 73, 63, 81, 54]"
"(55, 0)","[55, 55]"
"(55, 90)","[55, 55]"
"(55, 180)","[72, 62, 53, 55, 63, 54, 55]"
"(55, 270)","[72, 73, 64, 63, 74, 81, 55, 55]"
"(56, 0)","[56, 57, 66, 56]"
"(56, 90)","[56, 56]"
"(56, 180)","[56, 56]"
"(56, 270)","[82, 56, 75, 76, 66, 65, 56]"
"(57, 0)","[57, 57]"
"(57, 90)","[57, 57]"
"(57, 180)","[56, 57, 65, 57]"
"(57, 270)","[82, 57, 75, 76, 66, 65, 57]"
"(58, 0)","[58, 69, 68, 59, 58]"
"(58, 90)","[50, 58, 58]"
"(58, 180)","[58, 58]"
"(58, 270)","[83, 78, 58, 68, 67, 77, 58]"
"(59, 0)","[59, 59]"
"(59, 90)","[59, 59]"
"(59, 180)","[50, 58, 67, 59, 59]"
"(59, 270)","[83, 78, 69, 68, 67, 59, 77, 59]"
"(60, 0)","[52, 61, 71, 60, 60]"
"(60, 90)","[48, 49, 52, 51, 60, 60]"
"(60, 180)","[60, 60]"
"(60, 270)","[69, 96, 84, 71, 79, 95, 97, 70, 80, 85, 60, 60]"
"(61, 0)","[61, 61]"
"(61, 90)","[51, 49, 52, 48, 61, 61]"
"(61, 180)","[51, 70, 69, 60, 61, 61]"
"(61, 270)","[96, 84, 61, 71, 79, 95, 97, 70, 80, 85, 61]"
"(62, 0)","[73, 64, 54, 63, 74, 62, 55, 62]"
"(62, 90)","[54, 62, 53, 62]"
"(62, 180)","[62, 62]"
"(62, 270)","[72, 62, 73, 81, 62]"
"(63, 0)","[64, 63, 74, 55, 63]"
"(63, 90)","[53, 54, 63, 55, 63]"
"(63, 180)","[72, 62, 53, 63, 63]"
"(63, 270)","[72, 73, 63, 74, 81, 63]"
"(64, 0)","[64, 64]"
"(64, 90)","[64, 54, 55, 64]"
"(64, 180)","[72, 62, 64, 53, 73, 63, 54, 64]"
"(64, 270)","[64, 73, 74, 81, 64]"
"(65, 0)","[57, 76, 66, 65, 65]"
"(65, 90)","[56, 57, 65, 65]"
"(65, 180)","[65, 65]"
"(65, 270)","[82, 75, 76, 65, 65]"
"(66, 0)","[66, 66]"
"(66, 90)","[56, 57, 66, 66]"
"(66, 180)","[56, 75, 66, 65, 66]"
"(66, 270)","[82, 75, 76, 66, 66]"
"(67, 0)","[78, 69, 68, 67, 59, 67]"
"(67, 90)","[50, 58, 67, 59, 67]"
"(67, 180)","[67, 67]"
"(67, 270)","[83, 78, 67, 77, 67]"
"(68, 0)","[69, 68, 68]"
"(68, 90)","[50, 58, 68, 59, 68]"
"(68, 180)","[58, 68, 67, 77, 68]"
"(68, 270)","[83, 78, 68, 77, 68]"
"(69, 0)","[69, 52, 61, 71, 79, 70, 80, 85, 60, 69]"
"(69, 90)","[69, 69]"
"(69, 180)","[50, 83, 78, 58, 69, 68, 67, 59, 77, 69]"
"(69, 270)","[69, 69]"
"(70, 0)","[61, 71, 70, 80, 70]"
"(70, 90)","[51, 49, 52, 48, 61, 70, 60, 70]"
"(70, 180)","[69, 70, 70]"
"(70, 270)","[96, 84, 79, 95, 97, 70, 80, 85, 70]"
"(71, 0)","[71, 71]"
"(71, 90)","[51, 49, 52, 48, 61, 60, 71, 71]"
"(71, 180)","[71, 70, 69, 79, 60, 71]"
"(71, 270)","[96, 84, 71, 79, 95, 97, 80, 85, 71]"
"(72, 0)","[72, 73, 64, 74, 63, 81, 55, 72]"
"(72, 90)","[72, 62, 53, 55, 63, 54, 72]"
