states,observations
"(0, 0)","[17, 4, 7, 29, 1, 11, 14, 5, 23, 2, 9, 10, 15, 22, 16, 3, 8, 21, 28, 0]"
"(0, 90)",[0]
"(0, 180)",[0]
"(0, 270)","[24, 7, 20, 19, 13, 31, 14, 25, 34, 6, 18, 30, 26, 33, 21, 28, 0, 12, 27, 32]"
"(1, 0)","[17, 4, 29, 1, 11, 5, 23, 2, 9, 10, 15, 22, 16, 3, 8]"
"(1, 90)",[1]
"(1, 180)","[6, 0, 1]"
"(1, 270)","[24, 7, 20, 1, 19, 13, 31, 14, 25, 34, 6, 18, 30, 15, 26, 33, 22, 8, 21, 28, 12, 27, 32]"
"(2, 0)","[17, 4, 11, 5, 23, 2, 9, 10, 16, 3]"
"(2, 90)",[2]
"(2, 180)","[6, 0, 2, 7, 1, 12]"
"(2, 270)","[24, 7, 20, 29, 19, 13, 31, 14, 25, 34, 23, 2, 9, 18, 30, 15, 26, 33, 22, 16, 8, 21, 28, 12, 27, 32]"
"(3, 0)","[5, 17, 10, 4, 11, 3]"
"(3, 90)",[3]
"(3, 180)","[6, 0, 2, 7, 13, 1, 18, 3, 8, 12]"
"(3, 270)","[17, 24, 20, 29, 19, 13, 31, 14, 25, 23, 9, 18, 30, 10, 15, 26, 33, 22, 16, 3, 8, 21, 28, 27, 32]"
"(4, 0)","[5, 4, 11]"
"(4, 90)",[4]
"(4, 180)","[6, 0, 19, 2, 9, 4, 7, 13, 24, 1, 14, 18, 3, 8, 12]"
"(4, 270)","[17, 24, 4, 20, 29, 19, 31, 11, 14, 25, 23, 9, 30, 10, 15, 26, 33, 22, 16, 21, 28, 27, 32]"
"(5, 0)",[5]
"(5, 90)",[5]
"(5, 180)","[20, 5, 6, 0, 19, 25, 2, 9, 10, 15, 4, 7, 13, 30, 24, 1, 14, 18, 3, 8, 12]"
"(5, 270)","[17, 20, 29, 31, 11, 25, 5, 23, 30, 10, 15, 26, 33, 22, 16, 21, 28, 27, 32]"
"(6, 0)","[17, 4, 7, 20, 29, 1, 13, 11, 14, 5, 6, 23, 2, 9, 10, 15, 22, 16, 3, 8, 21, 28, 27]"
"(6, 90)","[6, 0, 1]"
"(6, 180)",[6]
"(6, 270)","[24, 20, 19, 13, 31, 25, 34, 6, 18, 30, 26, 33, 12, 27, 32]"
"(7, 0)","[17, 4, 7, 29, 11, 14, 5, 23, 2, 9, 10, 15, 22, 16, 3, 8, 21, 28]"
"(7, 90)","[0, 2, 7, 1]"
"(7, 180)","[6, 0, 7, 12]"
