states,observations
"(0, 0)","[10, 6, 0, 5, 1]"
"(0, 90)","[1, 0]"
"(0, 180)","[5, 0]"
"(0, 270)","[10, 6, 0, 5, 1]"
"(1, 0)","[10, 6, 1]"
"(1, 90)","[1, 0]"
"(1, 180)","[6, 1, 10, 5, 0]"
"(1, 270)","[10, 6, 0, 5, 1]"
"(2, 0)","[3, 9, 4, 7, 8, 11, 2]"
"(2, 90)","[3, 4, 2]"
"(2, 180)","[7, 2]"
"(2, 270)","[7, 2, 9, 3, 8, 4, 11]"
"(3, 0)","[3, 9, 4, 8, 11]"
"(3, 90)","[3, 4, 2]"
"(3, 180)","[7, 2, 11, 3, 8]"
"(3, 270)","[7, 2, 9, 3, 8, 4, 11]"
"(4, 0)","[9, 4]"
"(4, 90)","[3, 4, 2]"
"(4, 180)","[7, 2, 11, 9, 3, 8, 4]"
"(4, 270)","[7, 2, 9, 3, 8, 4, 11]"
"(5, 0)","[10, 6, 0, 5, 1]"
"(5, 90)","[6, 1, 5, 0]"
"(5, 180)","[5, 0]"
"(5, 270)","[10, 6, 5]"
"(6, 0)","[10, 6, 1]"
"(6, 90)","[6, 1, 0]"
"(6, 180)","[6, 1, 10, 5, 0]"
"(6, 270)","[10, 6, 5]"
"(7, 0)","[3, 9, 4, 7, 8, 11, 2]"
"(7, 90)","[3, 9, 4, 7, 8, 2]"
"(7, 180)","[7, 2]"
"(7, 270)","[7, 8, 9, 11]"
"(8, 0)","[3, 9, 4, 8, 11]"
"(8, 90)","[3, 9, 4, 8, 2]"
"(8, 180)","[7, 2, 11, 3, 8]"
"(8, 270)","[7, 9, 8, 11]"
"(9, 0)","[9, 4]"
"(9, 90)","[3, 9, 4, 2]"
"(9, 180)","[7, 2, 11, 9, 3, 8, 4]"
"(9, 270)","[7, 9, 8, 11]"
"(10, 0)","[1, 13, 10, 6]"
"(10, 90)","[10, 6, 0, 1]"
"(10, 180)","[10, 6, 0, 5, 1, 13]"
"(10, 270)","[13, 10]"
"(11, 0)","[20, 9, 3, 8, 4, 17, 16, 11]"
"(11, 90)","[3, 9, 4, 8, 11, 2]"
"(11, 180)","[7, 2, 15, 20, 3, 8, 16, 11]"
"(11, 270)","[15, 20, 16, 11, 17]"
"(12, 0)","[12, 22, 18, 21, 19, 13]"
"(12, 90)","[12, 13]"
"(12, 180)","[18, 12, 21]"
"(12, 270)","[18, 13, 22, 19, 12, 21]"
"(13, 0)","[10, 22, 15, 20, 16, 19, 14, 17, 13, 11]"
"(13, 90)","[14, 15, 12, 13, 10]"
"(13, 180)","[12, 10, 22, 18, 21, 19, 13]"
"(13, 270)","[12, 22, 18, 15, 21, 19, 14, 13]"
"(14, 0)","[15, 20, 14, 17, 16, 11]"
"(14, 90)","[14, 15, 13, 16, 11]"
"(14, 180)","[14, 13]"
"(14, 270)","[14, 15, 13, 20, 16]"
"(15, 0)","[15, 20, 17, 16, 11]"
"(15, 90)","[14, 15, 13, 16, 11, 17]"
"(15, 180)","[14, 15, 13]"
"(15, 270)","[14, 15, 13, 20, 16, 17]"
"(16, 0)","[20, 17, 16, 11]"
"(16, 90)","[15, 14, 17, 16, 11]"
"(16, 180)","[14, 15, 13, 20, 16, 11]"
"(16, 270)","[15, 20, 14, 17, 16]"
"(17, 0)",[17]
"(17, 90)","[15, 17, 16, 11]"
"(17, 180)","[14, 15, 13, 20, 16, 11, 17]"
"(17, 270)","[15, 20, 17, 16]"
"(18, 0)","[12, 22, 18, 21, 19, 13]"
"(18, 90)","[12, 18, 19, 13]"
"(18, 180)","[18, 12, 21]"
"(18, 270)","[18, 22, 19, 21]"
"(19, 0)","[22, 19, 13]"
"(19, 90)","[12, 18, 19, 13]"
"(19, 180)","[18, 13, 22, 19, 12, 21]"
"(19, 270)","[18, 22, 19, 21]"
"(20, 0)","[25, 20, 24, 17, 16, 11]"
"(20, 90)","[15, 20, 16, 11, 17]"
"(20, 180)","[15, 20, 24, 23, 16, 11]"
"(20, 270)","[25, 24, 23, 20]"
"(21, 0)","[12, 22, 18, 21, 19, 13]"
"(21, 90)","[12, 22, 18, 21, 19, 13]"
"(21, 180)","[18, 12, 21]"
"(21, 270)","[22, 21]"
"(22, 0)","[22, 19, 13]"
"(22, 90)","[12, 22, 18, 21, 19, 13]"
"(22, 180)","[18, 13, 22, 19, 12, 21]"
"(22, 270)","[22, 21]"
"(23, 0)","[25, 24, 23, 20]"
"(23, 90)","[24, 25, 20, 23]"
"(23, 180)",[23]
"(23, 270)","[25, 24, 23]"
"(24, 0)","[25, 24, 20]"
"(24, 90)","[25, 20, 24, 23]"
"(24, 180)","[20, 24, 23]"
"(24, 270)","[25, 24, 23]"
"(25, 0)",[25]
"(25, 90)","[25, 20, 24, 23]"
"(25, 180)","[25, 20, 24, 23]"
"(25, 270)","[25, 24, 23]"
