Run,Trial,enter room,exit room,next room,triage,Mean
exp-0025,Trial-51,0.632653061,0.928571429,0.944444444,0.627906977,0.783393978
exp-0025,Trial-58,0.333333333,1,0.6,0.673469388,0.65170068
exp-0025,Trial-157,,,1,,1
exp-0025,Trial-100,,,1,,1
exp-0025,Trial-65,,,0.666666667,,0.666666667
exp-0025,Trial-172,0.318181818,1,0.888888889,0.677419355,0.721122515
exp-0025,Trial-217,0.5,0.96,0.833333333,0.652173913,0.736376812
exp-0025,Trial-91,0.377777778,0.992857143,0.916666667,0.657142857,0.736111111
exp-0025,Trial-209,0.53125,1,0.866666667,0.722222222,0.780034722
exp-0025,Trial-224,0.4,1,0.923076923,0.65625,0.744831731
exp-0025,Trial-260,0.407407407,1,0.928571429,0.830508475,0.791621828
exp-0025,Trial-59,0.40625,0.995633188,0.818181818,0.666666667,0.721682918
exp-0025,Trial-192,0.4,,0.6,1,0.666666667
exp-0025,Trial-117,0.514285714,1,0.923076923,0.692307692,0.782417582
exp-0023,Trial-188,0.722222222,1,0.882352941,0.642857143,0.811858077
exp-0023,Trial-113,0.520833333,1,0.857142857,0.603448276,0.745356117
exp-0023,Trial-94,0.564102564,1,0.9375,0.590909091,0.773127914
exp-0023,Trial-238,0.622222222,1,0.941176471,0.909090909,0.8681224
exp-0023,Trial-248,0.444444444,1,1,0.777777778,0.805555556
exp-0023,Trial-245,0.605263158,1,0.916666667,0.714285714,0.809053885
exp-0023,Trial-73,0.473684211,0.875,0.928571429,0.7,0.74431391
exp-0023,Trial-255,0.464285714,1,1,0.7,0.791071429
exp-0023,Trial-102,0.404255319,1,1,0.663366337,0.766905414
exp-0023,Trial-184,0.575,1,0.8,0.538461538,0.728365385
exp-0023,Trial-272,0.5625,0.928571429,1,0.6875,0.794642857
exp-0023,Trial-130,0.511111111,0.9375,0.928571429,0.789473684,0.791664056
exp-0023,Trial-209,0.53125,1,0.866666667,0.722222222,0.780034722
