Run,Trial,enter room,exit room,next room,triage,Mean,,Overall Mean,,Standard Deviation,,Variance
exp-0021,Trial-187,0.347826087,0.202777778,1,0.662650602,0.553313617,,0.771371785,,0.067845073,,0.004602954
exp-0021,Trial-202,0.590909091,1,0.923076923,0.52,0.758496503,,,,,,
exp-0021,Trial-46,0.466666667,1,0.875,0.642384106,0.746012693,,,,,,
exp-0021,Trial-48,0.65625,1,1,0.725490196,0.845435049,,,,,,
exp-0021,Trial-51,0.632653061,0.928571429,0.944444444,0.627906977,0.783393978,,,,,,
exp-0021,Trial-75,0.710526316,0.958333333,0.933333333,0.764705882,0.841724716,,,,,,
exp-0022,Trial-256,0.571428571,1,0.846153846,0.814814815,0.808099308,,,,,,
exp-0022,Trial-195,0.414634146,1,0.764705882,0.56097561,0.68507891,,,,,,
exp-0022,Trial-129,0.333333333,1,0.555555556,0.636363636,0.631313131,,,,,,
exp-0022,Trial-219,0.833333333,1,0.866666667,0.379310345,0.769827586,,,,,,
exp-0022,Trial-184,0.552631579,1,0.8,0.538461538,0.722773279,,,,,,
exp-0022,Trial-147,0.413793103,1,1,0.675,0.772198276,,,,,,
exp-0022,Trial-273,0.545454545,1,1,0.733333333,0.81969697,,,,,,
exp-0022,Trial-262,0.59375,1,0.769230769,0.769230769,0.783052885,,,,,,
exp-0022,Trial-117,0.514285714,1,0.923076923,0.692307692,0.782417582,,,,,,
exp-0023,Trial-188,0.722222222,1,0.882352941,0.642857143,0.811858077,,,,,,
exp-0023,Trial-113,0.520833333,1,0.857142857,0.603448276,0.745356117,,,,,,
exp-0023,Trial-94,0.564102564,1,0.9375,0.590909091,0.773127914,,,,,,
exp-0023,Trial-238,0.622222222,1,0.941176471,0.909090909,0.8681224,,,,,,
exp-0023,Trial-248,0.444444444,1,1,0.777777778,0.805555556,,,,,,
exp-0023,Trial-245,0.605263158,1,0.916666667,0.714285714,0.809053885,,,,,,
exp-0023,Trial-73,0.473684211,0.875,0.928571429,0.7,0.74431391,,,,,,
exp-0023,Trial-255,0.464285714,1,1,0.7,0.791071429,,,,,,
exp-0023,Trial-102,0.404255319,1,1,0.663366337,0.766905414,,,,,,
exp-0023,Trial-184,0.575,1,0.8,0.538461538,0.728365385,,,,,,
exp-0023,Trial-272,0.5625,0.928571429,1,0.6875,0.794642857,,,,,,
exp-0023,Trial-130,0.511111111,0.9375,0.928571429,0.789473684,0.791664056,,,,,,
exp-0023,Trial-209,0.53125,1,0.866666667,0.722222222,0.780034722,,,,,,
exp-0023,Trial-142,0.588235294,1,0.928571429,0.78125,0.824514181,,,,,,
exp-0023,Trial-218,0.571428571,1,1,0.666666667,0.80952381,,,,,,
exp-0023,Trial-86,0.372093023,1,0.866666667,0.533333333,0.693023256,,,,,,
