Run,Trial,enter room,exit room,next room,triage,Mean
41,Trial-51,0.632653061,0.928571429,0.894736842,0.627906977,0.770967077
41,Trial-269,0.463414634,1,0.9,0.655172414,0.754646762
41,Trial-67,0.740740741,0.966666667,0.888888889,0.7,0.824074074
41,Trial-157,,,1,,1
41,Trial-252,0.486486486,1,0.846153846,0.533333333,0.716493416
41,Trial-206,0.472222222,1,0.9,0.675675676,0.761974474
41,Trial-198,0.694444444,1,0.941176471,0.870967742,0.876647164
41,Trial-113,0.509433962,1,0.866666667,0.603448276,0.744887226
41,Trial-162,0.666666667,1,0.8,0.541666667,0.752083333
41,Trial-82,0.487804878,0.995951417,0.882352941,0.607142857,0.743313023
41,Trial-115,0.621621622,1,1,0.625,0.811655405
41,Trial-271,0.529411765,1,0.846153846,0.766666667,0.785558069
41,Trial-190,0.424242424,1,0.928571429,0.64516129,0.749493786
41,Trial-124,0.703703704,1,0.7,0.777777778,0.79537037
41,Trial-131,0.615384615,0.944444444,1,0.4375,0.749332265
41,Trial-69,0.523809524,1,0.894736842,0.617021277,0.758891911
41,Trial-213,0.628571429,1,0.9375,0.655172414,0.805310961
41,Trial-66,,,1,,1
41,Trial-163,0.578947368,1,1,0.764705882,0.835913313
41,Trial-248,,,1,,1
41,Trial-245,0.605263158,1,0.916666667,0.714285714,0.809053885
41,Trial-109,,,1,,1
41,Trial-78,,,1,,1
41,Trial-235,0.72,1,1,0.590909091,0.827727273
41,Trial-259,0.696969697,1,0.818181818,0.888888889,0.851010101
41,Trial-83,0.41509434,0.996742671,0.882352941,0.6,0.723547488
41,Trial-161,0.647058824,1,1,0.705882353,0.838235294
41,Trial-65,,,0.5,,0.5
41,Trial-254,0.566666667,0.947368421,0.941176471,0.72,0.79380289
41,Trial-222,0.470588235,1,0.923076923,0.608695652,0.750590203
41,Trial-267,0.590909091,0.952380952,0.769230769,0.769230769,0.770437895
41,Trial-175,0.863636364,0.92,0.818181818,0.615384615,0.804300699
41,Trial-101,0.465116279,1,0.846153846,0.642276423,0.738386637
